feature,type
time_since_recent_payment,numeric
max_recent_level_of_deliq,numeric
num_deliq_6_12mts,numeric
num_times_60p_dpd,numeric
num_std_12mts,numeric
num_sub,numeric
num_sub_12mts,numeric
num_dbt,numeric
num_dbt_12mts,numeric
num_lss,numeric
recent_level_of_deliq,numeric
CC_enq_L12m,numeric
PL_enq_L12m,numeric
time_since_recent_enq,numeric
enq_L3m,numeric
Time_With_Curr_Empr,numeric
CC_Flag,numeric
PL_Flag,numeric
pct_PL_enq_L6m_of_ever,numeric
pct_CC_enq_L6m_of_ever,numeric
HL_Flag,numeric
GL_Flag,numeric
pct_tl_open_L6M,numeric
pct_tl_closed_L6M,numeric
Tot_TL_closed_L12M,numeric
pct_tl_closed_L12M,numeric
Tot_Missed_Pmnt,numeric
CC_TL,numeric
Home_TL,numeric
PL_TL,numeric
Secured_TL,numeric
Unsecured_TL,numeric
Other_TL,numeric
Age_Oldest_TL,numeric
Age_Newest_TL,numeric
enq_L3m_was_missing,numeric
Age_Newest_TL_was_missing,numeric
MARITALSTATUS,categorical
EDUCATION,categorical
last_prod_enq2,categorical
first_prod_enq2,categorical
